"REID","Record Type Desc","Parcel Status Desc","Property Class Desc","Sale Date","Sale Price","Sale Type Desc","Sale Status Desc","Sale Disqualification Reason Desc","Ownership Document Number"
121,Sale,ACTIVE,RESIDENTIAL,"7/15/2022 12:00:01 AM",250000.00,PACKAGE,QUALIFIED,,2337326
130,Sale,ACTIVE,RESIDENTIAL,"2/1/2022 12:00:01 AM",275000.00,PACKAGE,QUALIFIED,,2312925
140,Sale,ACTIVE,RESIDENTIAL,"11/10/2022 12:00:01 AM",385000.00,PACKAGE,QUALIFIED,,2352955
152,Sale,ACTIVE,RESIDENTIAL,"3/3/2022 12:00:01 AM",200000.00,PACKAGE,QUALIFIED,,2317350
228,Sale,ACTIVE,RESIDENTIAL,"7/15/2022 12:00:01 AM",220500.00,PACKAGE,QUALIFIED,,2337241
260,Sale,ACTIVE,RESIDENTIAL,"9/8/2022 12:00:01 AM",420000.00,PACKAGE,QUALIFIED,,2345186
274,Sale,ACTIVE,RESIDENTIAL,"3/15/2022 12:00:01 AM",65000.00,LAND,QUALIFIED,,2319204
282,Sale,ACTIVE,RESIDENTIAL,"3/28/2022 12:00:01 AM",400000.00,PACKAGE,QUALIFIED,,2320985
296,Sale,ACTIVE,RESIDENTIAL,"12/5/2022 12:00:01 AM",270000.00,PACKAGE,QUALIFIED,,2355200
312,Sale,ACTIVE,RESIDENTIAL,"4/26/2022 12:00:01 AM",310000.00,PACKAGE,QUALIFIED,,2325365
348,Sale,ACTIVE,RESIDENTIAL,"5/23/2022 12:00:01 AM",330000.00,PACKAGE,QUALIFIED,,2329447
409,Sale,ACTIVE,RESIDENTIAL,"6/9/2022 12:00:01 AM",450000.00,PACKAGE,QUALIFIED,,2332231
426,Sale,ACTIVE,RESIDENTIAL,"4/11/2022 12:00:01 AM",725000.00,PACKAGE,QUALIFIED,,2323118
471,Sale,ACTIVE,RESIDENTIAL,"3/25/2022 12:00:01 AM",439000.00,PACKAGE,QUALIFIED,,2320721
501,Sale,ACTIVE,RESIDENTIAL,"5/9/2022 12:00:01 AM",320000.00,PACKAGE,QUALIFIED,,2327417
523,Sale,ACTIVE,RESIDENTIAL,"12/16/2022 12:00:01 AM",500000.00,PACKAGE,QUALIFIED,,2356631
547,Sale,ACTIVE,RESIDENTIAL,"4/4/2022 12:00:01 AM",325000.00,PACKAGE,QUALIFIED,,2322103
558,Sale,ACTIVE,RESIDENTIAL,"4/12/2022 12:00:01 AM",410000.00,PACKAGE,QUALIFIED,,2323428
580,Sale,ACTIVE,RESIDENTIAL,"1/28/2022 12:00:01 AM",429900.00,PACKAGE,QUALIFIED,,2312368
603,Sale,ACTIVE,RESIDENTIAL,"2/15/2022 12:00:01 AM",90000.00,LAND,QUALIFIED,,2315079
618,Sale,ACTIVE,RESIDENTIAL,"4/21/2022 12:00:01 AM",35000.00,LAND,QUALIFIED,,2324726
647,Sale,ACTIVE,RESIDENTIAL,"12/12/2022 12:00:01 AM",404000.00,PACKAGE,QUALIFIED,,2355993
657,Sale,ACTIVE,RESIDENTIAL,"8/2/2022 12:00:01 AM",420000.00,PACKAGE,QUALIFIED,,2339556
673,Sale,ACTIVE,RESIDENTIAL,"5/18/2022 12:00:01 AM",89000.00,PACKAGE,QUALIFIED,,2328920
687,Sale,ACTIVE,RESIDENTIAL,"4/6/2022 12:00:01 AM",225000.00,PACKAGE,QUALIFIED,,2322632
753,Sale,ACTIVE,RESIDENTIAL,"11/23/2022 12:00:01 AM",285900.00,PACKAGE,QUALIFIED,,2354343
802,Sale,ACTIVE,RESIDENTIAL,"3/25/2022 12:00:01 AM",490000.00,PACKAGE,QUALIFIED,,2320773
804,Sale,ACTIVE,COMMERCIAL,"6/10/2022 12:00:01 AM",4450000.00,PACKAGE,QUALIFIED,,2332569
822,Sale,ACTIVE,RESIDENTIAL,"8/8/2022 12:00:01 AM",97492.00,LAND,QUALIFIED,,2340293
895,Sale,ACTIVE,RESIDENTIAL,"2/1/2022 12:00:01 AM",170000.00,PACKAGE,QUALIFIED,,2312823
932,Sale,ACTIVE,RESIDENTIAL,"1/18/2022 12:00:01 AM",555000.00,PACKAGE,QUALIFIED,,2310484
