Work Type,Year For,Days in Queue,Queue Status,Reviewer,REID,Parcel Status,PIN,Market Area,Market Area Description,Street Number,Street Name,City/Zip,Valuation Approach,TxnCrDate
Sales Queue,2022,309,PROCESSED,BRITTANY BOOTH (BBOOTH),129383,Active,1380-80-7796,CHA03,CHANDLER SUB,20110,CHANDLER DR,"COVINGTON, 70435",Cost,7/18/2022 9:38:48 AM
Sales Queue,2022,309,PROCESSED,DAVID GARRETT (DGARRETT),114064,Active,1310-71-5387,QRI08,QUAIL RIDGE SUB,615,EAGLE DR,"SLIDELL, 70461",Cost,7/18/2022 9:40:43 AM
Sales Queue,2022,309,PROCESSED,BROOKE KEEN (BKEEN),40267,Active,1120-20-0301,HY190,HWY 190 EAST,24529,HWY 190 E HWY,"LACOMBE, 70445",Cost,7/18/2022 9:42:03 AM
Sales Queue,2022,309,PROCESSED,DAVID GARRETT (DGARRETT),126351,Active,1378-05-3370,LES09,LAKESHORE ESTATES,0,NO ADDRESS ,"SLIDELL, 70461",Cost,7/18/2022 9:43:38 AM
Sales Queue,2022,309,PROCESSED,LAURA ROGERS (LROGERS),26113,Active,1070-13-2179,RAM03,RAMSEY ESTATES,75112,CAROL LN,"COVINGTON, 70435",Cost,7/18/2022 9:59:12 AM
Sales Queue,2022,309,PROCESSED,DAVID GARRETT (DGARRETT),92370,Active,1241-36-6882,SAA09,SALMEN ADDITION 1 2 3,3131,WILLIAM TELL ST,"SLIDELL, 70458",Cost,7/18/2022 10:04:09 AM
Sales Queue,2022,309,PROCESSED,BRITTANY BOOTH (BBOOTH),110458,Active,1281-05-8177,LPI09,LIBERTY PINES,104,CEDAR LN,"SLIDELL, 70460",Cost,7/18/2022 10:07:50 AM
Sales Queue,2022,309,PROCESSED,GARY SCHOEN (GSCHOEN),25003,Active,1070-11-7420,LRA03,LAKE RAMSEY,14070,S LAKESHORE DR,"COVINGTON, 70435",Cost,7/18/2022 10:13:47 AM
Sales Queue,2022,309,PROCESSED,GARY SCHOEN (GSCHOEN),25887,Active,1070-12-9283,KFO03,KINGS FOREST,101,ROBIN HOOD DR,"COVINGTON, 70433",Cost,7/18/2022 10:17:15 AM
Sales Queue,2022,309,PROCESSED,BROOKE KEEN (BKEEN),51038,Active,1121-30-1624,LNE12,LANE ST,569,LANE ST,"MANDEVILLE, 70448",Cost,7/18/2022 10:18:15 AM
Sales Queue,2022,309,PROCESSED,DAVID GARRETT (DGARRETT),134969,Active,7673-90-1863,LVI09,LAKESHORE VILLAGES,7584,1ST LAKE DR,"SLIDELL, 70461",Cost,7/18/2022 10:20:39 AM
Sales Queue,2022,309,PROCESSED,BRITTANY BOOTH (BBOOTH),65798,Active,1168-19-2066,ALA10,ABITA LAKES,0,CAMDEN PARK DR,"ABITA SPRINGS, 70420",Cost,7/18/2022 10:21:45 AM
Sales Queue,2022,309,PROCESSED,DAVID GARRETT (DGARRETT),125808,Active,1371-38-6247,MPO09,MASTERS POINT,230,E AUGUSTA LN,"SLIDELL, 70458",Cost,7/18/2022 10:22:31 AM
Sales Queue,2022,309,PROCESSED,DAVID GARRETT (DGARRETT),134918,Active,7683-01-1759,LVI09,LAKESHORE VILLAGES,7444,1ST LAKE DR,"SLIDELL, 70461",Cost,7/18/2022 10:23:00 AM
Sales Queue,2022,309,PROCESSED,BROOKE KEEN (BKEEN),134595,Active,6689-57-2904,DPE04,,21412,SKYLER DOVE DR,"COVINGTON, 70433",Cost,7/18/2022 10:23:44 AM
Sales Queue,2022,309,PROCESSED,DAVID GARRETT (DGARRETT),134910,Active,7673-91-3014,LVI09,LAKESHORE VILLAGES,5307,CYPRESS BRANCH DR,"SLIDELL, 70461",Cost,7/18/2022 10:23:54 AM
Sales Queue,2022,309,PROCESSED,BROOKE KEEN (BKEEN),133246,Active,6688-97-6507,MNA04,MANDEVILLE ANNEX,1505,PENROSE ST,"MANDEVILLE, 70448",Cost,7/18/2022 10:30:13 AM
